State,X,Y
Jammu and Kashmir,-132,218
Ladakh,-96,243
Himachal Pradesh,-86,182
Punjab,-120,163
Uttrakhand,-51,143
Haryana,-106,126
Delhi,-89,111
Uttar Pradesh,-22,77
Rajasthan,-172,80
Madhya Pradesh,-72,2
Chhattisgarh,1,-36
Bihar,69,57
Jharkhand,62,10
West Bengal,110,-1
Sikkim,113,94
Assam,185,83
Arunachal Pradesh,221,131
Nagaland,223,76
Mizoram,197,-1
Tripura,175,17
Meghalaya,164,51
Manipur,216,41
Orissa,54,-50
Maharashtra,-133,-76
Gujarat,-202,-3
Telangana,-59,-114
Andhra Pradesh,-46,-166
Goa,-160,-162
Karnataka,-131,-185
Kerala,-111,-267
Tamil Nadu,-73,-252
Puducherry,-39,-238
Andaman and Nicobar Islands,210,-215
Lakshadweep Islands,-198,-251
Dadra Nagar Haveli and Daman Diu,-209,-53
